radius_mm,height_mm
6.462925851703406,48.27054771286334
6.538076152304608,48.298385072335826
6.613226452905811,48.32650382604605
6.688376753507013,48.35490006721915
6.7635270541082155,48.38356989761322
6.838677354709418,48.41250943012617
6.913827655310621,48.44171479125431
6.988977955911824,48.47118212340673
7.064128256513026,48.50090758707955
7.1392785571142285,48.53088736289454
7.21442885771543,48.56111765350617
7.2895791583166325,48.591594685381914
7.364729458917835,48.62231471045996
7.439879759519037,48.65327400768913
7.51503006012024,48.6844688844553
7.590180360721442,48.71589567789897
7.665330661322645,48.74755075612839
7.740480961923847,48.779430519332635
7.8156312625250495,48.81153140079906
7.890781563126252,48.84384986783937
7.965931863727454,48.87638242262848
8.041082164328657,48.9091256029604
8.11623246492986,48.942075982925
8.191382765531062,48.975230173509686
8.266533066132263,49.00858482312982
8.341683366733466,49.04213661809142
8.416833667334668,49.07588228298988
8.491983967935871,49.109818581048145
8.567134268537073,49.1439423143976
8.642284569138276,49.17825032430501
8.717434869739478,49.21273949134857
8.792585170340681,49.247406735546036
8.867735470941883,49.28224901643786
8.942885771543086,49.31726333312805
9.018036072144287,49.35244672428541
9.09318637274549,49.387796268107685
9.168336673346692,49.42330908225104
9.243486973947894,49.458982323727156
9.318637274549097,49.494813188770195
9.3937875751503,49.53079891267568
9.468937875751502,49.56693676961334
9.544088176352705,49.603224072415806
9.619238476953907,49.639658172344944
9.69438877755511,49.676236458837614
9.769539078156312,49.712956359232386
9.844689378757515,49.749815338478875
9.919839679358716,49.78681089883108
9.99498997995992,49.82394057952613
10.070140280561121,49.8612019564498
10.145290581162325,49.89859264178994
10.220440881763526,49.93611028367911
10.29559118236473,49.97375256582745
10.370741482965931,50.01151720714681
10.445891783567134,50.04940196136718
10.521042084168338,50.087404616646324
10.596192384769537,50.12552299517348
10.671342685370739,50.16375495276794
10.746492985971942,50.202098378473245
10.821643286573144,50.240551194147834
10.896793587174347,50.27911135405263
10.97194388777555,50.31777684443638
11.047094188376752,50.3565456831192
11.122244488977955,50.39541591907496
11.197394789579157,50.43438563201298
11.27254509018036,50.473452931959535
11.347695390781562,50.51261595883956
11.422845691382765,50.55187288205909
11.497995991983966,50.59122190008867
11.57314629258517,50.630661240048205
11.648296593186371,50.670189157293514
11.723446893787575,50.70980393500492
11.798597194388776,50.74950388377815
11.87374749498998,50.78928734121778
11.948897795591181,50.82915267153355
12.024048096192384,50.8690982651396
12.099198396793586,50.90912253825701
12.17434869739479,50.949223932519686
12.249498997995993,50.98940091458384
12.324649298597194,51.02965197574114
12.399799599198397,51.06997563153576
12.474949899799599,51.11037042138535
12.5501002004008,51.15083490820606
12.625250501002002,51.19136767804181
12.700400801603205,51.2319673396977
12.775551102204407,51.272632524377826
12.85070140280561,51.31336188532744
12.925851703406812,51.35415409747953
13.001002004008015,51.395007857105945
13.076152304609217,51.435921881472964
13.15130260521042,51.47689490850144
13.226452905811621,51.517925696431554
13.301603206412825,51.55901302349206
13.376753507014026,51.60015568757421
13.45190380761523,51.64135250591025
13.527054108216431,51.68260231475648
13.602204408817634,51.72390396908094
13.677354709418836,51.765256342255654
13.75250501002004,51.80665832575343
13.827655310621243,51.84810882884923
13.902805611222444,51.88960677832601
13.977955911823647,51.93115111818515
14.053106212424849,51.972740809361206
14.128256513026052,52.01437482944122
14.203406813627254,52.05605217238839
14.278557114228457,52.09777184827005
14.353707414829659,52.13953288299006
14.42885771543086,52.18133431802542
14.504008016032062,52.223175210167156
14.579158316633265,52.265054631265365
14.654308617234467,52.30697166797846
14.72945891783567,52.34892542152649
14.804609218436871,52.39091500744853
14.879759519038075,52.43293955536409
14.954909819639276,52.47499820873844
15.03006012024048,52.51709012465193
15.105210420841681,52.559214473573086
15.180360721442884,52.60137043913557
15.255511022044086,52.64355721791888
15.33066132264529,52.68577401923276
15.405811623246493,52.72802006490527
15.480961923847694,52.77029458907446
15.556112224448897,52.81259683798358
15.631262525050099,52.85492606977982
15.706412825651302,52.897281554316486
15.781563126252504,52.93966257295855
15.856713426853707,52.98206841839157
15.931863727454909,53.02449839443392
16.007014028056112,53.0669518158522
16.082164328657313,53.10942800817991
16.157314629258515,53.15192630753921
16.23246492985972,53.194446060465815
16.30761523046092,53.23698662373687
16.382765531062123,53.27954736420188
16.457915831663325,53.32212765861656
16.533066132264526,53.36472689347954
16.608216432865728,53.407344464871976
16.683366733466933,53.44997977829991
16.758517034068134,53.492632248539415
